Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

08:32:50 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:32:51 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:32:52 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:32:53 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:32:54 AM       0     91.09      0.00      8.91      0.00      0.00      0.00
08:32:55 AM       0     88.89      0.00     11.11      0.00      0.00      0.00
08:32:56 AM       0     90.00      0.00     10.00      0.00      0.00      0.00
08:32:57 AM       0     89.00      0.00     11.00      0.00      0.00      0.00
08:32:58 AM       0     90.10      0.00      9.90      0.00      0.00      0.00
08:32:59 AM       0     90.00      0.00     10.00      0.00      0.00      0.00
08:33:00 AM       0     89.90      0.00     10.10      0.00      0.00      0.00
08:33:01 AM       0     90.00      0.00     10.00      0.00      0.00      0.00
08:33:02 AM       0     89.11      0.00     10.89      0.00      0.00      0.00
08:33:03 AM       0     88.89      0.00     11.11      0.00      0.00      0.00
08:33:04 AM       0     94.00      0.00      6.00      0.00      0.00      0.00
08:33:05 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:33:06 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:33:07 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:33:08 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:33:09 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:33:10 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
Average:          0     94.55      0.00      5.45      0.00      0.00      0.00
