Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/30/2020 	_x86_64_	(48 CPU)

10:29:09 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:29:10 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:29:11 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:29:12 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:29:13 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:29:14 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:29:15 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:29:16 PM       0     94.00      0.00      6.00      0.00      0.00      0.00
10:29:17 PM       0     88.00      0.00     12.00      0.00      0.00      0.00
10:29:18 PM       0     88.00      0.00     12.00      0.00      0.00      0.00
10:29:19 PM       0     90.10      0.00      9.90      0.00      0.00      0.00
10:29:20 PM       0     89.90      0.00     10.10      0.00      0.00      0.00
10:29:21 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:29:22 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:29:23 PM       0     88.00      0.00     12.00      0.00      0.00      0.00
10:29:24 PM       0     89.11      0.00     10.89      0.00      0.00      0.00
10:29:25 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:29:26 PM       0     89.90      0.00     10.10      0.00      0.00      0.00
10:29:27 PM       0     88.00      0.00     12.00      0.00      0.00      0.00
10:29:28 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:29:29 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:29:30 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:29:31 PM       0     88.12      0.00     11.88      0.00      0.00      0.00
10:29:32 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:29:33 PM       0     88.89      0.00     11.11      0.00      0.00      0.00
10:29:34 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:29:35 PM       0     88.00      0.00     12.00      0.00      0.00      0.00
10:29:36 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:29:37 PM       0     88.00      0.00     12.00      0.00      0.00      0.00
10:29:38 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:29:39 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:29:40 PM       0     89.11      0.00     10.89      0.00      0.00      0.00
10:29:41 PM       0     89.90      0.00     10.10      0.00      0.00      0.00
10:29:42 PM       0     89.11      0.00     10.89      0.00      0.00      0.00
10:29:43 PM       0     88.89      0.00     11.11      0.00      0.00      0.00
10:29:44 PM       0     88.12      0.00     11.88      0.00      0.00      0.00
10:29:45 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
