Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/30/2020 	_x86_64_	(48 CPU)

10:35:50 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:35:51 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:35:52 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:35:53 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:35:54 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:35:55 PM       0     98.00      0.00      2.00      0.00      0.00      0.00
10:35:56 PM       0     84.85      0.00     15.15      0.00      0.00      0.00
10:35:57 PM       0     82.18      0.00     17.82      0.00      0.00      0.00
10:35:58 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:35:59 PM       0     82.00      0.00     18.00      0.00      0.00      0.00
10:36:00 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:36:01 PM       0     82.00      0.00     18.00      0.00      0.00      0.00
10:36:02 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:36:03 PM       0     83.84      0.00     16.16      0.00      0.00      0.00
10:36:04 PM       0     81.19      0.00     18.81      0.00      0.00      0.00
10:36:05 PM       0     81.00      0.00     19.00      0.00      0.00      0.00
10:36:06 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:36:07 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:36:08 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:36:09 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:36:10 PM       0     81.00      0.00     19.00      0.00      0.00      0.00
10:36:11 PM       0     82.00      0.00     18.00      0.00      0.00      0.00
10:36:12 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:36:13 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:36:14 PM       0     82.00      0.00     18.00      0.00      0.00      0.00
10:36:15 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:36:16 PM       0     82.00      0.00     18.00      0.00      0.00      0.00
10:36:17 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:36:18 PM       0     81.00      0.00     19.00      0.00      0.00      0.00
10:36:19 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:36:20 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:36:21 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:36:22 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:36:23 PM       0     82.00      0.00     18.00      0.00      0.00      0.00
10:36:24 PM       0     82.00      0.00     18.00      0.00      0.00      0.00
10:36:25 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:36:26 PM       0     82.00      0.00     18.00      0.00      0.00      0.00
10:36:27 PM       0     82.00      0.00     18.00      0.00      0.00      0.00
10:36:28 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:36:29 PM       0     81.00      0.00     19.00      0.00      0.00      0.00
10:36:30 PM       0     82.00      0.00     18.00      0.00      0.00      0.00
10:36:31 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:36:32 PM       0     82.18      0.00     17.82      0.00      0.00      0.00
10:36:33 PM       0     84.85      0.00     15.15      0.00      0.00      0.00
10:36:34 PM       0     82.00      0.00     18.00      0.00      0.00      0.00
10:36:35 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:36:36 PM       0     82.00      0.00     18.00      0.00      0.00      0.00
10:36:37 PM       0     82.00      0.00     18.00      0.00      0.00      0.00
10:36:38 PM       0     82.00      0.00     18.00      0.00      0.00      0.00
10:36:39 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:36:40 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:36:41 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:36:42 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:36:43 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:36:44 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:36:45 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:36:46 PM       0     82.00      0.00     18.00      0.00      0.00      0.00
10:36:47 PM       0     81.00      0.00     19.00      0.00      0.00      0.00
10:36:48 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:36:49 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:36:50 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:36:51 PM       0     83.17      0.00     16.83      0.00      0.00      0.00
10:36:52 PM       0     82.83      0.00     17.17      0.00      0.00      0.00
10:36:53 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:36:54 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:36:55 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:36:56 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:36:57 PM       0     85.15      0.00     14.85      0.00      0.00      0.00
10:36:58 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:36:59 PM       0     84.85      0.00     15.15      0.00      0.00      0.00
10:37:00 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:37:01 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:37:02 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:37:03 PM       0     85.15      0.00     14.85      0.00      0.00      0.00
10:37:04 PM       0     84.85      0.00     15.15      0.00      0.00      0.00
10:37:05 PM       0     83.17      0.00     16.83      0.00      0.00      0.00
10:37:06 PM       0     85.86      0.00     14.14      0.00      0.00      0.00
10:37:07 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:37:08 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:37:09 PM       0     85.15      0.00     14.85      0.00      0.00      0.00
10:37:10 PM       0     84.85      0.00     15.15      0.00      0.00      0.00
10:37:11 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:37:12 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:37:13 PM       0     82.18      0.00     17.82      0.00      0.00      0.00
10:37:14 PM       0     83.84      0.00     16.16      0.00      0.00      0.00
10:37:15 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:37:16 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:37:17 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:37:18 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:37:19 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:37:20 PM       0     82.00      0.00     18.00      0.00      0.00      0.00
10:37:21 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:37:22 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:37:23 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:37:24 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:37:25 PM       0     80.20      0.00     19.80      0.00      0.00      0.00
10:37:26 PM       0     84.85      0.00     15.15      0.00      0.00      0.00
10:37:27 PM       0     84.16      0.00     15.84      0.00      0.00      0.00
10:37:28 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:37:29 PM       0     83.84      0.00     16.16      0.00      0.00      0.00
10:37:30 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:37:31 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:37:32 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:37:33 PM       0     86.14      0.00     13.86      0.00      0.00      0.00
10:37:34 PM       0     83.84      0.00     16.16      0.00      0.00      0.00
10:37:35 PM       0     86.00      0.00     14.00      0.00      0.00      0.00
10:37:36 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:37:37 PM       0     86.00      0.00     14.00      0.00      0.00      0.00
10:37:38 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:37:39 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:37:40 PM       0     84.16      0.00     15.84      0.00      0.00      0.00
10:37:41 PM       0     84.85      0.00     15.15      0.00      0.00      0.00
10:37:42 PM       0     82.18      0.00     17.82      0.00      0.00      0.00
10:37:43 PM       0     84.85      0.00     15.15      0.00      0.00      0.00
10:37:44 PM       0     86.00      0.00     14.00      0.00      0.00      0.00
