Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	04/05/2020 	_x86_64_	(48 CPU)

06:35:16 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:35:17 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:35:18 AM       0     17.00      0.00      8.00      0.00      0.00     75.00
06:35:19 AM       0     90.10      0.00      9.90      0.00      0.00      0.00
06:35:20 AM       0      7.29      0.00     68.75      0.00      0.00     23.96
06:35:21 AM       0     10.00      0.00     79.00      0.00      0.00     11.00
06:35:22 AM       0      7.92      0.00     80.20      0.00      0.00     11.88
06:35:23 AM       0      7.22      0.00     81.44      0.00      0.00     11.34
06:35:24 AM       0      8.25      0.00     79.38      0.00      0.00     12.37
06:35:25 AM       0      8.16      0.00     80.61      0.00      0.00     11.22
06:35:26 AM       0      8.25      0.00     79.38      0.00      0.00     12.37
06:35:27 AM       0      9.09      0.00     78.79      0.00      0.00     12.12
06:35:28 AM       0      9.18      0.00     78.57      0.00      0.00     12.24
06:35:29 AM       0      8.25      0.00     79.38      0.00      0.00     12.37
06:35:30 AM       0     10.10      0.00     77.78      0.00      0.00     12.12
06:35:31 AM       0      8.25      0.00     80.41      0.00      0.00     11.34
06:35:32 AM       0     10.00      0.00     78.00      0.00      0.00     12.00
06:35:33 AM       0      9.00      0.00     79.00      0.00      0.00     12.00
06:35:34 AM       0      8.25      0.00     80.41      0.00      0.00     11.34
06:35:35 AM       0      8.25      0.00     79.38      0.00      0.00     12.37
06:35:36 AM       0      7.22      0.00     79.38      0.00      0.00     13.40
06:35:37 AM       0      8.33      0.00     79.17      0.00      0.00     12.50
06:35:38 AM       0      9.18      0.00     78.57      0.00      0.00     12.24
06:35:39 AM       0      6.19      0.00     81.44      0.00      0.00     12.37
06:35:40 AM       0      9.38      0.00     79.17      0.00      0.00     11.46
06:35:41 AM       0      8.91      0.00     79.21      0.00      0.00     11.88
06:35:42 AM       0      6.25      0.00     82.29      0.00      0.00     11.46
06:35:43 AM       0     10.31      0.00     77.32      0.00      0.00     12.37
06:35:44 AM       0      8.16      0.00     79.59      0.00      0.00     12.24
06:35:45 AM       0      8.25      0.00     80.41      0.00      0.00     11.34
06:35:46 AM       0      8.16      0.00     79.59      0.00      0.00     12.24
06:35:47 AM       0      8.25      0.00     79.38      0.00      0.00     12.37
06:35:48 AM       0      8.25      0.00     80.41      0.00      0.00     11.34
06:35:49 AM       0     10.10      0.00     77.78      0.00      0.00     12.12
06:35:50 AM       0      9.28      0.00     78.35      0.00      0.00     12.37
06:35:51 AM       0      8.42      0.00     80.00      0.00      0.00     11.58
06:35:52 AM       0      9.18      0.00     78.57      0.00      0.00     12.24
06:35:53 AM       0     10.42      0.00     77.08      0.00      0.00     12.50
06:35:54 AM       0      9.00      0.00     80.00      0.00      0.00     11.00
06:35:55 AM       0     10.10      0.00     77.78      0.00      0.00     12.12
06:35:56 AM       0      9.47      0.00     77.89      0.00      0.00     12.63
06:35:57 AM       0      7.14      0.00     81.63      0.00      0.00     11.22
06:35:58 AM       0      8.16      0.00     79.59      0.00      0.00     12.24
06:35:59 AM       0      9.38      0.00     78.12      0.00      0.00     12.50
