Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	04/05/2020 	_x86_64_	(48 CPU)

06:57:19 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:57:20 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:57:21 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:57:22 AM       0     38.38      0.00     11.11      0.00      0.00     50.51
06:57:23 AM       0     69.00      0.00     29.00      0.00      0.00      2.00
06:57:24 AM       0     12.00      0.00     88.00      0.00      0.00      0.00
06:57:25 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:57:26 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:57:27 AM       0     10.10      0.00     89.90      0.00      0.00      0.00
06:57:28 AM       0     13.00      0.00     87.00      0.00      0.00      0.00
06:57:29 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:57:30 AM       0     10.10      0.00     89.90      0.00      0.00      0.00
06:57:31 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:57:32 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:57:33 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:57:34 AM       0      8.91      0.00     90.10      0.00      0.00      0.99
06:57:35 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:57:36 AM       0      9.09      0.00     90.91      0.00      0.00      0.00
06:57:37 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:57:38 AM       0      8.91      0.00     91.09      0.00      0.00      0.00
06:57:39 AM       0     12.12      0.00     87.88      0.00      0.00      0.00
06:57:40 AM       0     10.10      0.00     89.90      0.00      0.00      0.00
06:57:41 AM       0      9.90      0.00     90.10      0.00      0.00      0.00
06:57:42 AM       0     13.00      0.00     87.00      0.00      0.00      0.00
06:57:43 AM       0     11.11      0.00     88.89      0.00      0.00      0.00
06:57:44 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:57:45 AM       0     13.00      0.00     87.00      0.00      0.00      0.00
06:57:46 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:57:47 AM       0     12.00      0.00     88.00      0.00      0.00      0.00
06:57:48 AM       0     11.11      0.00     88.89      0.00      0.00      0.00
06:57:49 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:57:50 AM       0     11.88      0.00     88.12      0.00      0.00      0.00
06:57:51 AM       0      8.08      0.00     91.92      0.00      0.00      0.00
06:57:52 AM       0      7.92      0.00     91.09      0.00      0.00      0.99
06:57:53 AM       0      8.00      0.00     92.00      0.00      0.00      0.00
06:57:54 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:57:55 AM       0      9.00      0.00     91.00      0.00      0.00      0.00
06:57:56 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:57:57 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:57:58 AM       0     11.11      0.00     88.89      0.00      0.00      0.00
06:57:59 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:58:00 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:58:01 AM       0     13.00      0.00     87.00      0.00      0.00      0.00
06:58:02 AM       0     10.10      0.00     89.90      0.00      0.00      0.00
06:58:03 AM       0     10.89      0.00     89.11      0.00      0.00      0.00
06:58:04 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:58:05 AM       0     13.00      0.00     87.00      0.00      0.00      0.00
06:58:06 AM       0     10.10      0.00     89.90      0.00      0.00      0.00
06:58:07 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:58:08 AM       0     12.00      0.00     88.00      0.00      0.00      0.00
06:58:09 AM       0     12.00      0.00     88.00      0.00      0.00      0.00
06:58:10 AM       0     12.00      0.00     88.00      0.00      0.00      0.00
06:58:11 AM       0     11.88      0.00     87.13      0.00      0.00      0.99
06:58:12 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:58:13 AM       0      9.00      0.00     91.00      0.00      0.00      0.00
06:58:14 AM       0      9.09      0.00     90.91      0.00      0.00      0.00
06:58:15 AM       0     12.87      0.00     87.13      0.00      0.00      0.00
06:58:16 AM       0     11.11      0.00     88.89      0.00      0.00      0.00
06:58:17 AM       0      9.00      0.00     91.00      0.00      0.00      0.00
06:58:18 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:58:19 AM       0     12.00      0.00     88.00      0.00      0.00      0.00
06:58:20 AM       0     10.10      0.00     89.90      0.00      0.00      0.00
06:58:21 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:58:22 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:58:23 AM       0      7.00      0.00     93.00      0.00      0.00      0.00
06:58:24 AM       0      9.00      0.00     91.00      0.00      0.00      0.00
06:58:25 AM       0     12.00      0.00     88.00      0.00      0.00      0.00
06:58:26 AM       0      9.00      0.00     91.00      0.00      0.00      0.00
06:58:27 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:58:28 AM       0     10.89      0.00     88.12      0.00      0.00      0.99
06:58:29 AM       0     12.12      0.00     87.88      0.00      0.00      0.00
06:58:30 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:58:31 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:58:32 AM       0      9.00      0.00     91.00      0.00      0.00      0.00
06:58:33 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:58:34 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:58:35 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:58:36 AM       0     10.10      0.00     89.90      0.00      0.00      0.00
06:58:37 AM       0      9.00      0.00     91.00      0.00      0.00      0.00
06:58:38 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:58:39 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:58:40 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:58:41 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:58:42 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:58:43 AM       0     11.11      0.00     88.89      0.00      0.00      0.00
06:58:44 AM       0     10.89      0.00     89.11      0.00      0.00      0.00
06:58:45 AM       0      9.09      0.00     90.91      0.00      0.00      0.00
06:58:46 AM       0      9.90      0.00     89.11      0.00      0.00      0.99
06:58:47 AM       0      9.90      0.00     90.10      0.00      0.00      0.00
06:58:48 AM       0      9.09      0.00     90.91      0.00      0.00      0.00
06:58:49 AM       0      9.00      0.00     91.00      0.00      0.00      0.00
06:58:50 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:58:51 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:58:52 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:58:53 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:58:54 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:58:55 AM       0     13.00      0.00     87.00      0.00      0.00      0.00
06:58:56 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:58:57 AM       0     11.11      0.00     88.89      0.00      0.00      0.00
06:58:58 AM       0     10.89      0.00     89.11      0.00      0.00      0.00
06:58:59 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:59:00 AM       0      9.09      0.00     90.91      0.00      0.00      0.00
06:59:01 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:59:02 AM       0      9.00      0.00     91.00      0.00      0.00      0.00
06:59:03 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:59:04 AM       0      8.91      0.00     90.10      0.00      0.00      0.99
06:59:05 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:59:06 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:59:07 AM       0     13.00      0.00     87.00      0.00      0.00      0.00
06:59:08 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:59:09 AM       0     10.10      0.00     89.90      0.00      0.00      0.00
06:59:10 AM       0     10.89      0.00     89.11      0.00      0.00      0.00
06:59:11 AM       0     10.10      0.00     89.90      0.00      0.00      0.00
06:59:12 AM       0     11.00      0.00     89.00      0.00      0.00      0.00
06:59:13 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:59:14 AM       0     11.88      0.00     88.12      0.00      0.00      0.00
06:59:15 AM       0      9.09      0.00     90.91      0.00      0.00      0.00
06:59:16 AM       0     10.00      0.00     90.00      0.00      0.00      0.00
06:59:17 AM       0     23.76      0.00     75.25      0.00      0.00      0.99
06:59:18 AM       0     31.63      0.00     58.16      0.00      0.00     10.20
06:59:19 AM       0     32.99      0.00     47.42      0.00      0.00     19.59
06:59:20 AM       0     31.25      0.00     45.83      0.00      0.00     22.92
06:59:21 AM       0     29.17      0.00     45.83      0.00      0.00     25.00
06:59:22 AM       0     31.63      0.00     43.88      0.00      0.00     24.49
06:59:23 AM       0     31.13      0.00     43.40      0.00      0.00     25.47
06:59:24 AM       0     33.98      0.00     38.83      0.00      0.00     27.18
06:59:25 AM       0     30.85      0.00     40.43      0.00      0.00     28.72
06:59:26 AM       0     34.31      0.00     39.22      0.00      0.00     26.47
06:59:27 AM       0     32.35      0.00     41.18      0.00      0.00     26.47
06:59:28 AM       0     33.00      0.00     40.00      0.00      0.00     27.00
06:59:29 AM       0     33.33      0.00     42.86      0.00      0.00     23.81
06:59:30 AM       0     36.19      0.00     40.95      0.00      0.00     22.86
06:59:31 AM       0     33.96      0.00     42.45      0.00      0.00     23.58
06:59:32 AM       0     36.27      0.00     39.22      0.00      0.00     24.51
06:59:33 AM       0     33.66      0.00     42.57      0.00      0.00     23.76
06:59:34 AM       0     32.69      0.00     43.27      0.00      0.00     24.04
06:59:35 AM       0     32.00      0.00     43.00      0.00      0.00     25.00
06:59:36 AM       0     31.31      0.00     43.43      0.00      0.00     25.25
06:59:37 AM       0     33.33      0.00     40.95      0.00      0.00     25.71
06:59:38 AM       0     32.71      0.00     41.12      0.00      0.00     26.17
06:59:39 AM       0     32.08      0.00     40.57      0.00      0.00     27.36
06:59:40 AM       0     29.17      0.00     42.71      0.00      0.00     28.12
06:59:41 AM       0     34.62      0.00     40.38      0.00      0.00     25.00
06:59:42 AM       0     33.33      0.00     45.05      0.00      0.00     21.62
06:59:43 AM       0     32.95      0.00     38.64      0.00      0.00     28.41
06:59:44 AM       0     34.00      0.00     40.00      0.00      0.00     26.00
06:59:45 AM       0     32.29      0.00     39.58      0.00      0.00     28.12
06:59:46 AM       0     31.11      0.00     37.78      0.00      0.00     31.11
06:59:47 AM       0     30.77      0.00     42.31      0.00      0.00     26.92
06:59:48 AM       0     30.61      0.00     40.82      0.00      0.00     28.57
06:59:49 AM       0     32.04      0.00     41.75      0.00      0.00     26.21
06:59:50 AM       0     32.67      0.00     39.60      0.00      0.00     27.72
06:59:51 AM       0     33.64      0.00     41.12      0.00      0.00     25.23
06:59:52 AM       0     33.00      0.00     39.00      0.00      0.00     28.00
06:59:53 AM       0     31.18      0.00     39.78      0.00      0.00     29.03
06:59:54 AM       0     32.99      0.00     38.14      0.00      0.00     28.87
06:59:55 AM       0     32.38      0.00     40.95      0.00      0.00     26.67
06:59:56 AM       0     32.00      0.00     41.00      0.00      0.00     27.00
06:59:57 AM       0     31.43      0.00     41.90      0.00      0.00     26.67
06:59:58 AM       0     33.33      0.00     39.22      0.00      0.00     27.45
06:59:59 AM       0     29.07      0.00     39.53      0.00      0.00     31.40
07:00:00 AM       0     30.61      0.00     41.84      0.00      0.00     27.55
07:00:01 AM       0     32.04      0.00     44.66      0.00      0.00     23.30
07:00:02 AM       0     32.95      0.00     38.64      0.00      0.00     28.41
07:00:03 AM       0     31.00      0.00     44.00      0.00      0.00     25.00
07:00:04 AM       0     31.96      0.00     42.27      0.00      0.00     25.77
07:00:05 AM       0     32.99      0.00     41.24      0.00      0.00     25.77
07:00:06 AM       0     32.61      0.00     41.30      0.00      0.00     26.09
07:00:07 AM       0     32.65      0.00     41.84      0.00      0.00     25.51
07:00:08 AM       0     34.55      0.00     41.82      0.00      0.00     23.64
07:00:09 AM       0     32.61      0.00     36.96      0.00      0.00     30.43
07:00:10 AM       0     32.00      0.00     41.00      0.00      0.00     27.00
07:00:11 AM       0     34.91      0.00     39.62      0.00      0.00     25.47
07:00:12 AM       0     32.71      0.00     41.12      0.00      0.00     26.17
07:00:13 AM       0     32.00      0.00     41.00      0.00      0.00     27.00
07:00:14 AM       0     28.42      0.00     42.11      0.00      0.00     29.47
07:00:15 AM       0     29.90      0.00     41.24      0.00      0.00     28.87
07:00:16 AM       0     34.07      0.00     38.46      0.00      0.00     27.47
07:00:17 AM       0     35.19      0.00     40.74      0.00      0.00     24.07
07:00:18 AM       0     33.67      0.00     37.76      0.00      0.00     28.57
07:00:19 AM       0     32.43      0.00     41.44      0.00      0.00     26.13
07:00:20 AM       0     21.43      0.00     25.51      0.00      0.00     53.06
07:00:21 AM       0      6.12      0.00      7.14      0.00      0.00     86.73
07:00:22 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
07:00:23 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
07:00:24 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
07:00:25 AM       0      0.00      0.00      0.00      0.00      0.00    100.00


07:00:25 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
Average:          0     18.02      0.00     68.74      0.00      0.00     13.25
