Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	04/05/2020 	_x86_64_	(48 CPU)

06:57:16 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:57:17 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
06:57:18 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
06:57:19 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
06:57:20 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
06:57:21 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
06:57:22 AM       0     97.03      0.00      2.97      0.00      0.00      0.00
06:57:23 AM       0     84.00      0.00     16.00      0.00      0.00      0.00
06:57:24 AM       0     84.00      0.00     16.00      0.00      0.00      0.00
06:57:25 AM       0     84.00      0.00     16.00      0.00      0.00      0.00
06:57:26 AM       0     84.00      0.00     16.00      0.00      0.00      0.00
06:57:27 AM       0     82.83      0.00     17.17      0.00      0.00      0.00
06:57:28 AM       0     82.00      0.00     18.00      0.00      0.00      0.00
06:57:29 AM       0     82.18      0.00     17.82      0.00      0.00      0.00
06:57:30 AM       0     83.84      0.00     16.16      0.00      0.00      0.00
06:57:31 AM       0     83.17      0.00     16.83      0.00      0.00      0.00
06:57:32 AM       0     82.00      0.00     18.00      0.00      0.00      0.00
06:57:33 AM       0     84.00      0.00     16.00      0.00      0.00      0.00
06:57:34 AM       0     83.00      0.00     17.00      0.00      0.00      0.00
06:57:35 AM       0     81.00      0.00     19.00      0.00      0.00      0.00
06:57:36 AM       0     83.00      0.00     17.00      0.00      0.00      0.00
06:57:37 AM       0     81.00      0.00     19.00      0.00      0.00      0.00
06:57:38 AM       0     83.84      0.00     16.16      0.00      0.00      0.00
06:57:39 AM       0     83.17      0.00     16.83      0.00      0.00      0.00
06:57:40 AM       0     83.84      0.00     16.16      0.00      0.00      0.00
06:57:41 AM       0     84.00      0.00     16.00      0.00      0.00      0.00
06:57:42 AM       0     84.16      0.00     15.84      0.00      0.00      0.00
06:57:43 AM       0     84.00      0.00     16.00      0.00      0.00      0.00
06:57:44 AM       0     82.00      0.00     18.00      0.00      0.00      0.00
06:57:45 AM       0     83.84      0.00     16.16      0.00      0.00      0.00
06:57:46 AM       0     82.18      0.00     17.82      0.00      0.00      0.00
06:57:47 AM       0     84.85      0.00     15.15      0.00      0.00      0.00
06:57:48 AM       0     84.16      0.00     15.84      0.00      0.00      0.00
06:57:49 AM       0     83.00      0.00     17.00      0.00      0.00      0.00
06:57:50 AM       0     82.00      0.00     18.00      0.00      0.00      0.00
06:57:51 AM       0     81.00      0.00     19.00      0.00      0.00      0.00
06:57:52 AM       0     84.85      0.00     15.15      0.00      0.00      0.00
06:57:53 AM       0     82.18      0.00     17.82      0.00      0.00      0.00
06:57:54 AM       0     82.00      0.00     18.00      0.00      0.00      0.00
06:57:55 AM       0     82.00      0.00     18.00      0.00      0.00      0.00
06:57:56 AM       0     83.84      0.00     16.16      0.00      0.00      0.00
06:57:57 AM       0     86.14      0.00     13.86      0.00      0.00      0.00
06:57:58 AM       0     80.00      0.00     20.00      0.00      0.00      0.00
06:57:59 AM       0     85.00      0.00     15.00      0.00      0.00      0.00
06:58:00 AM       0     83.00      0.00     17.00      0.00      0.00      0.00
06:58:01 AM       0     84.00      0.00     16.00      0.00      0.00      0.00
06:58:02 AM       0     83.00      0.00     17.00      0.00      0.00      0.00
06:58:03 AM       0     83.00      0.00     17.00      0.00      0.00      0.00
06:58:04 AM       0     83.00      0.00     17.00      0.00      0.00      0.00
06:58:05 AM       0     82.00      0.00     18.00      0.00      0.00      0.00
06:58:06 AM       0     83.00      0.00     17.00      0.00      0.00      0.00
06:58:07 AM       0     85.00      0.00     15.00      0.00      0.00      0.00
06:58:08 AM       0     84.00      0.00     16.00      0.00      0.00      0.00
06:58:09 AM       0     84.00      0.00     16.00      0.00      0.00      0.00
06:58:10 AM       0     85.00      0.00     15.00      0.00      0.00      0.00
06:58:11 AM       0     87.00      0.00     13.00      0.00      0.00      0.00
06:58:12 AM       0     88.00      0.00     12.00      0.00      0.00      0.00
06:58:13 AM       0     89.00      0.00     11.00      0.00      0.00      0.00
06:58:14 AM       0     90.00      0.00     10.00      0.00      0.00      0.00
06:58:15 AM       0     89.00      0.00     11.00      0.00      0.00      0.00
06:58:16 AM       0     89.00      0.00     11.00      0.00      0.00      0.00
06:58:17 AM       0     90.00      0.00     10.00      0.00      0.00      0.00
06:58:18 AM       0     91.00      0.00      9.00      0.00      0.00      0.00
06:58:19 AM       0     87.00      0.00     13.00      0.00      0.00      0.00
06:58:20 AM       0     86.00      0.00     14.00      0.00      0.00      0.00
06:58:21 AM       0     85.00      0.00     15.00      0.00      0.00      0.00
06:58:22 AM       0     86.00      0.00     14.00      0.00      0.00      0.00
06:58:23 AM       0     85.00      0.00     15.00      0.00      0.00      0.00
06:58:24 AM       0     84.00      0.00     16.00      0.00      0.00      0.00
06:58:25 AM       0     86.00      0.00     14.00      0.00      0.00      0.00
06:58:26 AM       0     86.00      0.00     14.00      0.00      0.00      0.00
06:58:27 AM       0     85.00      0.00     15.00      0.00      0.00      0.00
06:58:28 AM       0     84.00      0.00     16.00      0.00      0.00      0.00
06:58:29 AM       0     85.00      0.00     15.00      0.00      0.00      0.00
06:58:30 AM       0     87.00      0.00     13.00      0.00      0.00      0.00
