Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

12:39:48 AM    proc/s   cswch/s
12:39:49 AM      0.00    511.00
12:39:50 AM      0.00    528.00
12:39:51 AM      0.00    613.00
12:39:52 AM      0.00    572.00
12:39:53 AM      0.00    481.00
12:39:54 AM      0.00   9202.00
12:39:55 AM      0.00  11375.00
12:39:56 AM      0.00  11400.00
12:39:57 AM      0.00  11345.00
12:39:58 AM      0.00  11554.00
12:39:59 AM      0.00  11682.00
12:40:00 AM      0.00  11653.00
12:40:01 AM      0.00  11871.00
12:40:02 AM     15.84  13975.25
12:40:03 AM      1.00  13450.00
12:40:04 AM      0.00   8341.41
12:40:05 AM      0.00    430.69
12:40:06 AM      0.00    564.00
12:40:07 AM      0.00    586.00
12:40:08 AM      0.00    543.00
Average:         0.85   6533.63
