Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

08:39:11 AM    proc/s   cswch/s
08:39:12 AM      0.00    646.00
08:39:13 AM      0.00    682.00
08:39:14 AM      0.00    699.00
08:39:15 AM      8.00 320180.00
08:39:16 AM      0.00 385903.00
08:39:17 AM      0.00 385032.00
08:39:18 AM      0.00 385820.00
08:39:19 AM      0.00 385989.00
08:39:20 AM      0.00 385607.00
08:39:21 AM      0.00 385893.00
08:39:22 AM      0.00 384378.00
08:39:23 AM      0.00 385431.00
08:39:24 AM      0.00 385657.00
08:39:25 AM      0.00 139541.00
08:39:26 AM      0.00    677.00
08:39:27 AM      0.00    610.00
08:39:28 AM      0.00    615.00
08:39:29 AM      0.00    723.00
08:39:30 AM      0.00    708.00
08:39:31 AM      0.00    646.00
Average:         0.40 196771.85
