Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/08/2020 	_x86_64_	(48 CPU)

08:17:20 AM    proc/s   cswch/s
08:17:21 AM      0.00    611.00
08:17:22 AM      0.00    568.00
08:17:23 AM      0.00    706.00
08:17:24 AM      0.00    745.00
08:17:25 AM      0.00    723.00
08:17:26 AM      0.00    617.00
08:17:27 AM      0.00    645.00
08:17:28 AM      0.00    624.00
08:17:29 AM      0.00    668.00
08:17:30 AM      0.00    750.00
08:17:31 AM      0.00    757.00
08:17:32 AM      0.00    654.00
08:17:33 AM      0.00    634.00
08:17:34 AM      0.00    611.00
08:17:35 AM      0.00    573.00
08:17:36 AM      0.00    650.00
08:17:37 AM      0.00    689.00
08:17:38 AM      0.00    714.00
08:17:39 AM      0.00    703.00
08:17:40 AM      0.00    682.00
Average:         0.00    666.20
