Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	02/29/2020 	_x86_64_	(48 CPU)

05:47:22 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:47:23 AM     all      2.10      0.00      0.02      0.00      0.00     97.88
05:47:23 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
05:47:23 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      31      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      32      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      33      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      34      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      35      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      36      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      37      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      38      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      39      0.00      0.00      1.00      0.00      0.00     99.00
05:47:23 AM      40      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      41      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      42      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      43      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      44      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      45      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      46      0.00      0.00      0.00      0.00      0.00    100.00
05:47:23 AM      47      0.00      0.00      0.00      0.00      0.00    100.00

05:47:23 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:47:24 AM     all      2.06      0.00      0.04      0.00      0.00     97.90
05:47:24 AM       0     99.00      0.00      1.00      0.00      0.00      0.00
05:47:24 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      31      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      32      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      33      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      34      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      35      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      36      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      37      0.99      0.00      0.00      0.00      0.00     99.01
05:47:24 AM      38      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      39      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      40      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      41      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      42      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      43      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      44      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      45      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      46      0.00      0.00      0.00      0.00      0.00    100.00
05:47:24 AM      47      0.00      0.00      0.00      0.00      0.00    100.00

05:47:24 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:47:25 AM     all      1.92      0.00      0.19      0.00      0.00     97.89
05:47:25 AM       0     91.09      0.00      8.91      0.00      0.00      0.00
05:47:25 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      31      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      32      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      33      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      34      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      35      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      36      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      37      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      38      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      39      0.00      0.00      1.00      0.00      0.00     99.00
05:47:25 AM      40      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      41      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      42      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      43      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      44      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      45      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      46      0.00      0.00      0.00      0.00      0.00    100.00
05:47:25 AM      47      0.00      0.00      0.00      0.00      0.00    100.00

05:47:25 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:47:26 AM     all      1.92      0.00      0.19      0.00      0.00     97.89
05:47:26 AM       0     92.93      0.00      7.07      0.00      0.00      0.00
05:47:26 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:47:26 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:47:26 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:47:26 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:47:26 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:47:26 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:47:26 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:47:26 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:47:26 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
