CPU: Intel Skylake microarchitecture, speed 2.701e+06 MHz (estimated)
Counted cpu_clk_unhalted events () with a unit mask of 0x00 (Core cycles when at least one thread on the physical core is not in halt state) count 2100000
samples  %        image name               app name                 symbol name
201885   39.7168  server                   server                   thread_pool_task_handler(void*)
50640     9.9624  [vdso] (tgid:60366 range:0x7ffe045be000-0x7ffe045c0000) server                   [vdso] (tgid:60366 range:0x7ffe045be000-0x7ffe045c0000)
34000     6.6888  server                   server                   MTCPRunThread
27420     5.3943  libc-2.17.so             libc-2.17.so             __memcmp_sse4_1
24598     4.8392  libpthread-2.17.so       libpthread-2.17.so       pthread_mutex_lock
15981     3.1439  libpthread-2.17.so       libpthread-2.17.so       pthread_mutex_unlock
15566     3.0623  server                   server                   page::linear_search(entry_key_t)
14982     2.9474  server                   server                   task_queue::add_task(int, int, void**)
12088     2.3781  server                   server                   i40e_recv_pkts_vec_avx2
10573     2.0800  server                   server                   dpdk_send_pkts
10273     2.0210  server                   server                   dpdk_recv_pkts
10117     1.9903  server                   server                   btree::btree_insert(int, entry_key_t&, char*)
8669      1.7055  server                   server                   HandleReadEvent(thread_context*, int, int, server_vars*)
6828      1.3433  server                   server                   dpdk_dev_ioctl
6761      1.3301  server                   server                   StreamDequeue
5920      1.1646  server                   server                   page::store(int, btree*, char*, entry_key_t, char*, bool, bool, page*) [clone .constprop.15]
5254      1.0336  server                   server                   tbb::strict_ppl::internal::micro_queue<queue_task>::pop(void*, unsigned long, tbb::strict_ppl::internal::concurrent_queue_base_v3<queue_task>&)
4795      0.9433  server                   server                   CheckRtmTimeout
2660      0.5233  server                   server                   CheckTimewaitExpire
2574      0.5064  server                   server                   i40e_xmit_pkts
2469      0.4857  libc-2.17.so             libc-2.17.so             __memcpy_ssse3_back
1930      0.3797  libpthread-2.17.so       libpthread-2.17.so       pthread_spin_lock
1803      0.3547  server                   server                   SendTCPPacket
1545      0.3039  server                   server                   ProcessACK
1260      0.2479  libtbbmalloc.so.2        libtbbmalloc.so.2        rml::internal::Block::freePublicObject(rml::internal::FreeObject*)
1185      0.2331  server                   server                   HashFlow
1130      0.2223  server                   server                   ProcessTCPPacket
1111      0.2186  server                   server                   ProcessPacket
1102      0.2168  libtbbmalloc.so.2        libtbbmalloc.so.2        rml::internal::Block::privatizePublicFreeList(bool)
1008      0.1983  server                   server                   mtcp_epoll_wait
1003      0.1973  server                   server                   CityHash64(char const*, unsigned long)
826       0.1625  no-vmlinux               no-vmlinux               /no-vmlinux
751       0.1477  libpthread-2.17.so       libpthread-2.17.so       pthread_cond_wait@@GLIBC_2.3.2
707       0.1391  libjemalloc.so.2         libjemalloc.so.2         malloc
707       0.1391  server                   server                   EthernetOutput
705       0.1387  server                   server                   common_ring_sp_enqueue
701       0.1379  libpthread-2.17.so       libpthread-2.17.so       pthread_cond_signal@@GLIBC_2.3.2
693       0.1363  server                   server                   common_ring_sc_dequeue
635       0.1249  server                   server                   mtcp_recv
629       0.1237  server                   server                   IPOutput
627       0.1233  server                   server                   dpdk_select
500       0.0984  server                   server                   dpdk_get_wptr
479       0.0942  libjemalloc.so.2         libjemalloc.so.2         free
477       0.0938  server                   server                   mtcp_write
467       0.0919  server                   server                   btree::btree_insert_internal(int, char*, entry_key_t&, char*, unsigned int)
423       0.0832  server                   server                   CityHash64WithSeed(char const*, unsigned long, unsigned long)
408       0.0803  server                   server                   AddtoSendList
407       0.0801  server                   server                   UpdateTimeoutList
391       0.0769  server                   server                   FlushTCPSendingBuffer
387       0.0761  server                   server                   RunServerThread(void*)
372       0.0732  libc-2.17.so             libc-2.17.so             __memset_sse2
368       0.0724  server                   server                   WriteTCPACKList
365       0.0718  server                   server                   ParseSACKOption
348       0.0685  server                   server                   RBFragEnqueue
345       0.0679  server                   server                   StreamHTSearch
339       0.0667  libpthread-2.17.so       libpthread-2.17.so       __lll_lock_wait
326       0.0641  libtbbmalloc.so.2        libtbbmalloc.so.2        rml::internal::internalPoolMalloc(rml::internal::MemoryPool*, unsigned long)
321       0.0632  libpthread-2.17.so       libpthread-2.17.so       pthread_mutex_trylock
321       0.0632  server                   server                   nvmem_memcpy(char*, char const*, unsigned long)
316       0.0622  server                   server                   RBPut
296       0.0582  server                   server                   RBRemove
277       0.0545  server                   server                   btree::getNewPage(int, unsigned int)
260       0.0511  server                   server                   GetDestinationHWaddr
259       0.0510  libjemalloc.so.2         libjemalloc.so.2         je_base_alloc_extent
235       0.0462  server                   server                   EnqueueACK
223       0.0439  server                   server                   EqualFlow
218       0.0429  server                   server                   SBPut
213       0.0419  libpthread-2.17.so       libpthread-2.17.so       __lll_unlock_wake
212       0.0417  server                   server                   WriteTCPDataList
210       0.0413  libpthread-2.17.so       libpthread-2.17.so       _L_unlock_738
196       0.0386  server                   server                   AddEpollEvent
194       0.0382  libpthread-2.17.so       libpthread-2.17.so       __pthread_mutex_cond_lock
176       0.0346  libpthread-2.17.so       libpthread-2.17.so       __pthread_disable_asynccancel
171       0.0336  server                   server                   AddtoRTOList
163       0.0321  server                   server                   ProcessIPv4Packet
158       0.0311  libjemalloc.so.2         libjemalloc.so.2         je_extent_heap_remove_first
153       0.0301  server                   server                   page::insert_key(entry_key_t, char*, int*, bool, bool)
150       0.0295  server                   server                   ParseTCPTimestamp
150       0.0295  server                   server                   StreamEnqueue
141       0.0277  server                   server                   UpdateRetransmissionTimer
136       0.0268  libjemalloc.so.2         libjemalloc.so.2         je_arena_tcache_fill_small
134       0.0264  libjemalloc.so.2         libjemalloc.so.2         arena_bin_malloc_hard
129       0.0254  server                   server                   SBRemove
119       0.0234  server                   server                   dpdk_get_rptr
116       0.0228  libpthread-2.17.so       libpthread-2.17.so       __pthread_mutex_unlock_usercnt
108       0.0212  libpthread-2.17.so       libpthread-2.17.so       __pthread_enable_asynccancel
98        0.0193  libpthread-2.17.so       libpthread-2.17.so       pthread_spin_init
96        0.0189  libjemalloc.so.2         libjemalloc.so.2         extent_split_impl.isra.68
93        0.0183  libpthread-2.17.so       libpthread-2.17.so       _L_cond_lock_847
92        0.0181  libjemalloc.so.2         libjemalloc.so.2         extent_recycle.isra.90
85        0.0167  libtbbmalloc.so.2        libtbbmalloc.so.2        rml::internal::internalPoolFree(rml::internal::MemoryPool*, void*, unsigned long) [clone .constprop.42]
84        0.0165  server                   server                   RBFragDequeue
73        0.0144  server                   server                   SeqIsSacked
64        0.0126  libpthread-2.17.so       libpthread-2.17.so       pthread_getspecific
61        0.0120  server                   server                   GetMTCPManager
57        0.0112  server                   server                   tbb::strict_ppl::internal::concurrent_queue_base_v3<queue_task>::allocate_page()
54        0.0106  libtbbmalloc.so.2        libtbbmalloc.so.2        rml::internal::allocateAligned(rml::internal::MemoryPool*, unsigned long, unsigned long)
49        0.0096  libglib-2.0.so.0.4600.2  libglib-2.0.so.0.4600.2  /usr/lib64/libglib-2.0.so.0.4600.2
47        0.0092  libtbb.so.2              libtbb.so.2              tbb::internal::NFS_Allocate(unsigned long, unsigned long, void*)
46        0.0090  libtbbmalloc.so.2        libtbbmalloc.so.2        scalable_aligned_malloc
42        0.0083  libtbbmalloc.so.2        libtbbmalloc.so.2        rml::internal::Bin::getPrivatizedFreeListBlock()
41        0.0081  oprofiled                oprofiled                /usr/bin/oprofiled
38        0.0075  server                   server                   tbb::strict_ppl::internal::concurrent_queue_base_v3<queue_task>::deallocate_page(tbb::strict_ppl::internal::concurrent_queue_rep_base::page*)
36        0.0071  server                   server                   RaiseReadEvent
29        0.0057  libjemalloc.so.2         libjemalloc.so.2         extents_remove_locked.isra.77
28        0.0055  libc-2.17.so             libc-2.17.so             __memmove_ssse3_back
26        0.0051  server                   server                   i40e_read_stats_registers
25        0.0049  libgobject-2.0.so.0.4600.2 libgobject-2.0.so.0.4600.2 /usr/lib64/libgobject-2.0.so.0.4600.2
22        0.0043  libc-2.17.so             libc-2.17.so             malloc
22        0.0043  libjemalloc.so.2         libjemalloc.so.2         extent_rtree_leaf_elms_lookup
22        0.0043  libjemalloc.so.2         libjemalloc.so.2         extents_insert_locked.isra.76
22        0.0043  libstdc++.so.6.0.19      libstdc++.so.6.0.19      /usr/lib64/libstdc++.so.6.0.19
